node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until
10002350,SLITER EQUITIES LLP,SLITER EQUITIES LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100256,21-JUL-2014,,,,Active,Mossack Fonseca,OC394391,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10002351,PHAETHON TRADE INC LLP,PHAETHON TRADE INC LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100263,23-JUL-2014,,,,Active,Mossack Fonseca,OC394427,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10002444,SEATON INCORPORATED LLP,SEATON INCORPORATED LLP,,UK,United Kingdom,,SIMON BEETAR AV. CARRERA 9 NO. 115-06/30  OF. 801 BOGOTA,COLOMBIA,1100334,29-JUN-2015,,,,Active,Mossack Fonseca,OC400586,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10002570,G-QUILT LLP,G-QUILT LLP,,UK,United Kingdom,,CONSULTORIA Y GESTION INTEGRAL CALLE 11B N 31A-18 POBLADO-LALINDE MEDELLIN COLOMBIA,1100265,29-JUL-2014,,,,Active,Mossack Fonseca,OC394505,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10002756,KADUCEO LLP,KADUCEO LLP,,UK,United Kingdom,,ALEJANDRO ALZATE BLAIR CARRERA 30 NO. 17 SUR 09 MEDELLÃN MEDELLIN COLOMBIA,1100281,23-OCT-2014,,,,Active,Mossack Fonseca,OC396064,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10002761,Petersham Resources LLP,Petersham Resources LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100350,28-AUG-2015,,,,Active,Mossack Fonseca,OC000,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003327,ARKAPITAL LLP,ARKAPITAL LLP,,UK,United Kingdom,,ELVIA JIMENEZ DE URREA CRA. 43 A NO. 1 A SUR 29 OF 302 MEDELLÃN ANTIOQUIA, COLOMBIA,1100274,21-AUG-2014,,,,Active,Mossack Fonseca,OC394900,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003376,SELBERRY INCORPORATED LLP,SELBERRY INCORPORATED LLP,,UK,United Kingdom,,SIMON BEETAR AV. CARRERA 9 NO. 115-06/30  OF. 801 BOGOTA,COLOMBIA,1100254,21-JUL-2014,,,,Active,Mossack Fonseca,OC394395,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003521,PURBECK CORP LLP,PURBECK CORP LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100260,23-JUL-2014,,,,Active,Mossack Fonseca,OC394422,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003595,SLEDMERE FINANCE LLP,SLEDMERE FINANCE LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100262,22-JUL-2014,,,,Active,Mossack Fonseca,OC394399,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003608,CONLEY MARKETING LLP,CONLEY MARKETING LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100341,03-AUG-2015,,,,Active,Mossack Fonseca,OC401118,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003717,REDFLOR ASSOCIATES INC.,REDFLOR ASSOCIATES INC.,,PMA,Panama,,"R & ASOCIADOS ABOGADOS U.N. CARRERA 5, NO.16-13, OFICINA 201, SANTAFE DE BOGOTA D.C.  COLOMBIA **S.I.**",10010,18-FEB-1988,13-FEB-1996,18-MAY-1989,,Bad debt account,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003775,RUMSON DEVELOPMENT CORP.,RUMSON DEVELOPMENT CORP.,,SAM,Samoa,,BERNAL MEDINA LAVERDE CARRERA 13A NO. 89-38 OFICINA 613 NIPPON CENTER SANTAFE DE BOGOTÃ COLOMBIA,1000583,27-JAN-2006,10-FEB-2014,15-FEB-2015,,Discontinued,Mossack Fonseca,R24477,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003739,COPLEY INVESTMENTS LLP,COPLEY INVESTMENTS LLP,,UK,United Kingdom,,MARIA CAROLINA RESTREPO CAÃ‘AVERA CARRERA 11 NO. 94 â€“ 47 OFICINA 702 BOGOTÃ â€“ COLOMBIA BOGOTA COLOMBIA,1100320,17-APR-2015,,,,Active,Mossack Fonseca,OC399428,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10003944,ATA INTERNATIONAL S.A.,ATA INTERNATIONAL S.A.,,PMA,Panama,,SR. ALFONSO DUARTE CALLE 86, NO.7-47 APTO. 1101 SANTAFE DE BOGOTA COLOMBIA,1032,08-MAY-1980,10-APR-2000,08-AUG-2000,,Dissolved,Mossack Fonseca,53,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10004161,Appleby Limited,Appleby Limited,,SAM,Samoa,,BERNAL MEDINA LAVERDE CARRERA 13A NO. 89-38 OFICINA 613 NIPPON CENTER SANTAFE DE BOGOTÃ COLOMBIA,1001196,02-MAR-2006,17-FEB-2011,15-FEB-2011,,Defaulted,Mossack Fonseca,24982,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10004188,OVERSEAS MERCHANDISING LLC,OVERSEAS MERCHANDISING LLC,,NEV,Nevada,,DIG 72 2 30 AP 802 BOGOTA D.C. CUNDINAMARCA, COLOMBIA,120721,30-DEC-2005,22-FEB-2011,01-JAN-2008,,Defaulted,Mossack Fonseca,0915452005,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10004290,C.H.I. CARIBBEAN HOLDINGS, INC.,C.H.I. CARIBBEAN HOLDINGS, INC.,,PMA,Panama,,ALBERTO CAPUTO CARRERA 11 A NO. 97-42   **S.I.** APT 501 BOGOTA COLOMBIA,12160,20-MAR-1990,16-MAR-1992,20-JUN-1991,,Defaulted,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10004392,SISWAY MANGEMENT LLP,SISWAY MANGEMENT LLP,,UK,United Kingdom,,SIMON BEETAR AV. CARRERA 9 NO. 115-06/30  OF. 801 BOGOTA,COLOMBIA,1100354,05-OCT-2015,,,,Active,Mossack Fonseca,OC402114,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10004769,OVERSEAS MERCHANDISING LLP,OVERSEAS MERCHANDISING LLP,,UK,United Kingdom,,OVERSEAS MERCHANDISING LLP DIG 72 2 30 AP 802 BOGOTA D.C. CUNDINAMARCA, COLOMBIA,1100017,24-JAN-2006,03-SEP-2015,24-JAN-2007,,In transition,Mossack Fonseca,OC317415,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10005000,PARITET TRADING L.L.C.,PARITET TRADING L.L.C.,,NEV,Nevada,,EDUARDO ENRIQUE RODRIGUEZ MUÃ‘OZ CRA 2A NO 70 - 09 (501) BOGOTA - COLOMBIA,121981,02-JUN-2011,12-SEP-2013,01-JUL-2015,,Dissolved,Mossack Fonseca,E0322532011-9,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10005067,ROKA TECHNICAL SERVICES INC.,ROKA TECHNICAL SERVICES INC.,,PMA,Panama,,ROKA TECHNICAL SERVICES INC. APARTADO AEREO 750 SANTA MARTA COLOMBIA ATENCION:  SR. ROBERTO KATIME **S.I.**,13048,12-JUN-1991,21-JAN-1999,12-SEP-1992,,Defaulted,Mossack Fonseca,58,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10005092,ELISHA BEN ABUYA, S.A.,ELISHA BEN ABUYA, S.A.,,PMA,Panama,,ABCUN LTDA. CARRERA 7A. NO. 17-64 OFICINA 807 BOGOTA, COLOMBIA,10270,07-JUN-1988,25-NOV-1991,07-SEP-1989,,Defaulted,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10005564,ASHLYN HOLDING S.A.,ASHLYN HOLDING S.A.,,PMA,Panama,,SR. LEO EISENBAND CRA 69 NO. 98-A-66 BOGOTA, COLOMBIA,11329,11-APR-1989,02-APR-1993,11-JUL-1990,,Dissolved,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10005594,QUIPUX INTERNATIONAL LLC,QUIPUX INTERNATIONAL LLC,,NEV,Nevada,,B & O BERMUDEZ & OCAMPO ABOGADOS S.A.S CRA. 25 NO. 1A SURâ€“155 OFICINA 1652, PLATINUM SUPERIOR MEDELLIN MEDELLIN COLOMBIA,122558,21-JAN-2014,,,,Active,Mossack Fonseca,E0055832014-4,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10005636,CONTINENTAL PROPERTIES LLP,CONTINENTAL PROPERTIES LLP,,UK,United Kingdom,,JOSE MIGUEL CORREA CALLE 93A N. 14 - 17 OFICINA 704 EDIFICIO CENTRO 93 BOGOTÃ, COLOMBIA BOGOTA COLOMBIA,1100307,04-JUN-2015,,,,Active,Mossack Fonseca,OC400188,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10006071,PEPPERDINE LLP,PEPPERDINE LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100339,05-AUG-2015,,,,Active,Mossack Fonseca,OC401158,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10006126,GUARDIAN UNIVERSAL LLP,GUARDIAN UNIVERSAL LLP,,UK,United Kingdom,,"ANA MARIA SERRANO BARONA DIAG 127 B NO. 72-26, KALATRABA, BOGOTA COLOMBIA",1100318,16-APR-2015,,,,Active,Mossack Fonseca,OC399391,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10006147,CONSTRUCTION CRUSHING & ASPHALT EQUIPMENT, INC.,CONSTRUCTION CRUSHING & ASPHALT EQUIPMENT, INC.,,PMA,Panama,,ASTECNIA LTDA. CARRERA 58D - 30 SUR APARTADO 19784 BOGOTA, COLOMBIA,12306,07-JUN-1990,22-JUL-1993,07-SEP-1991,,Defaulted,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10006200,LUCKY INVESTMENTS LLP,LUCKY INVESTMENTS LLP,,UK,United Kingdom,,MARIA CAROLINA RESTREPO CAÃ‘AVERA CARRERA 11 NO. 94 â€“ 47 OFICINA 702 BOGOTÃ â€“ COLOMBIA BOGOTA COLOMBIA,1100321,17-APR-2015,,,,Active,Mossack Fonseca,OC399419,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10006291,VACOA ENTERPRISES INCORPORATED LLP,VACOA ENTERPRISES INCORPORATED LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100342,03-AUG-2015,,,,Active,Mossack Fonseca,OC401121,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10006496,WADLEY INTERNATIONAL L.C.,WADLEY INTERNATIONAL L.C.,,NEV,Nevada,,"SANTIAGO ARBOUIN CALLE 78 NO. 10-31, CASA NO. 4 CASA NO. 4, BOGOTA COLOMBIA",122242,18-JUN-2012,02-JUL-2014,01-JUL-2014,,Defaulted,Mossack Fonseca,E0333192012-1,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10006893,JAGLER INVEST LIMITED,JAGLER INVEST LIMITED,,NEV,Nevada,,"CRA 43A NO. 1 - 50, TORRE PROTECCION, OFICINA 852, MEDELLIN, COLOMBIA MEDELLIN COLOMBIA",120993,29-MAY-2007,27-APR-2013,01-JUN-2014,,Dissolved,Mossack Fonseca,E0400012007-6,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10006991,GERANIUM ENTERPRISES LLP,GERANIUM ENTERPRISES LLP,,UK,United Kingdom,,"JULIANA RESTREPO HERON CALLE 12 SUR 25-15, MALL COMPLEX LOS BALSOS, INTERIOR 224 MEDELLÃN COLOMBIA",1100209,11-DEC-2013,,,,Active,Mossack Fonseca,OC389832,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10007083,OIL INVESTMENT OVERSEAS LLP,OIL INVESTMENT OVERSEAS LLP,,UK,United Kingdom,,RICARDO SABOGAL & CIA LTDA CRA. 13 NO. 98-70, OFICINA 301  BOGOTÃ  COLOMBIA BOGOTA COLOMBIA,1100211,12-DEC-2013,,,,Active,Mossack Fonseca,OC389840,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10007500,ACACIA CORP LLP,ACACIA CORP LLP,,UK,United Kingdom,,"JULIANA RESTREPO HERON CALLE 12 SUR 25-15, MALL COMPLEX LOS BALSOS, INTERIOR 224 MEDELLÃN COLOMBIA",1100216,29-JAN-2014,,,,Active,Mossack Fonseca,OC390671,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10007509,SAILLOCK LLP,SAILLOCK LLP,,UK,United Kingdom,,CONSULTORIA Y GESTION INTEGRAL CALLE 11B N 31A-18 POBLADO-LALINDE MEDELLIN COLOMBIA,1100266,29-JUL-2014,,,,Active,Mossack Fonseca,OC394503,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10007513,GAFFEL LLP,GAFFEL LLP,,UK,United Kingdom,,CONSULTORIA Y GESTION INTEGRAL CALLE 11B N 31A-18 POBLADO-LALINDE MEDELLIN COLOMBIA,1100286,07-NOV-2014,,,,Active,Mossack Fonseca,OC396337,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10007723,Halden Services LLP,Halden Services LLP,,UK,United Kingdom,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,1100349,28-AUG-2015,,,,Active,Mossack Fonseca,OC1111,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10007806,HEMSLEY MANAGEMENT LTD.,HEMSLEY MANAGEMENT LTD.,,NEV,Nevada,,RICARDO SABOGAL & CIA LTDA CRA 12 NO 70-31 COLOMBIA, BOGOTA,121606,08-JAN-2010,13-APR-2015,01-FEB-2016,,Resigned as agent,Mossack Fonseca,E0034852010-7,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10008321,ONITEX ASSOCIATES S.A.,ONITEX ASSOCIATES S.A.,,PMA,Panama,,"R & ASOCIADOS ABOGADOS U.N. CARRERA 5, NO.16-13, OFICINA 201, SANTAFE DE BOGOTA D.C.  COLOMBIA **S.I.**",19430,26-JUN-2000,04-APR-2003,26-SEP-2001,,Defaulted,Mossack Fonseca,61,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10008326,"PANAMERICANA DE INGENIERIA Y CONSTRUCCIONES ""PADINCO""","PANAMERICANA DE INGENIERIA Y CONSTRUCCIONES ""PADINCO""",,PMA,Panama,,"ANA MARIA SERRANO BARONA DIAG 127 B NO. 72-26, KALATRABA, BOGOTA COLOMBIA",19582,05-SEP-2000,,,,Active,Mossack Fonseca,18,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10008382,GOLDEN TROPIC INC.,GOLDEN TROPIC INC.,,PMA,Panama,,"R & ASOCIADOS ABOGADOS U.N. CARRERA 5, NO.16-13, OFICINA 201, SANTAFE DE BOGOTA D.C.  COLOMBIA **S.I.**",13999,15-JAN-1993,13-FEB-1996,15-APR-1994,,Bad debt account,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10008442,ISAR HOLDINGS LLC,ISAR HOLDINGS LLC,,NEV,Nevada,,CARRERA 43A NO 9 SUR - 91 TORRE NORTE OFC. 1104   MEDELLIN,COLOMBIA MEDELLIN COLOMBIA,122609,26-MAR-2014,,,,Active,Mossack Fonseca,E0162062014-1,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10008457,PANIMPEX INTERNATIONAL INC.,PANIMPEX INTERNATIONAL INC.,,PMA,Panama,,"R & ASOCIADOS ABOGADOS U.N. CARRERA 5, NO.16-13, OFICINA 201, SANTAFE DE BOGOTA D.C.  COLOMBIA **S.I.**",13879,15-OCT-1992,18-DEC-1995,15-JAN-1994,,Bad debt account,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10008968,RAMDEL HOLDINGS S.A.,RAMDEL HOLDINGS S.A.,,PMA,Panama,,"R & ASOCIADOS ABOGADOS U.N. CARRERA 5, NO.16-13, OFICINA 201, SANTAFE DE BOGOTA D.C.  COLOMBIA **S.I.**",19428,26-JUN-2000,04-APR-2003,26-SEP-2001,,Defaulted,Mossack Fonseca,97,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10009052,HIGHLAND EQUITIES INC.,HIGHLAND EQUITIES INC.,,PMA,Panama,,SR. SILVIO VILLEGAS NARANJO APARTADO POSTAL 93463 SANTAFE DE BOGOTA, COLOMBIA,18537,10-JUN-1999,05-JUL-2004,10-SEP-2002,,Bad debt account,Mossack Fonseca,7,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10009447,TWIGSAW CORPORATION,TWIGSAW CORPORATION,,PMA,Panama,,PABLO ENRIQUE MENESIS BALLESTEROS CALLE 11 # 100 â€“ 121  EDIFICIO CAMPSTRE TOWERS OFICINA 901 CALI COLOMBIA *S.I.*,19436,30-JUN-2000,,,,Active,Mossack Fonseca,75,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10009681,WILSON LEARNING S.A.,WILSON LEARNING S.A.,,PMA,Panama,,WILSON LEARNING ANDINA Y RIO DE LA PLATA S.A. CARRERA 23 # 114 A 33 OF. 201 SANTAFE DE BOGOTA, COLOMBIA **I.E**,15510,11-SEP-1995,,,,Active,Mossack Fonseca,1,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10009926,HIGH CAPITAL INVESTMENTS CORP.,HIGH CAPITAL INVESTMENTS CORP.,,PMA,Panama,,ALBERTO JARAMILLO CARRERA 7 # 140A-48  TORRE 8 AP. 501 BOGOTA, COLOMBIA,18819,12-NOV-1999,08-MAR-2008,15-JAN-2009,,Changed agent,Mossack Fonseca,35,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10010078,DEMPSEY INTERNATIONAL CORP.,DEMPSEY INTERNATIONAL CORP.,,ANG,British Anguilla,,JUAN CARLOS AGUDELO CARRERA 63  # 22 A  - 41 APARTAMENTO 710    CONJUNTO ALMENARES BOGOTÃ, COLOMBIA BOGOTA COLOMBIA,2002909,22-NOV-2013,,,,Active,Mossack Fonseca,2294379,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10010107,CITY INVESTMENT FINANCIAL CORP.,CITY INVESTMENT FINANCIAL CORP.  -EX-  CITY TRUST FINANCIAL,CITY TRUST FINANCIAL,PMA,Panama,,SAMPER Y TRUJILLO APARTADO AEREO 58916 SANTAFE DE BOGOTA, COLOMBIA  ATN. SR. FELIPE SAMPER,1558,14-JAN-1980,22-JUN-1990,14-APR-1981,,Trash company,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10010408,PENRITH PROPERTIES LTD.,PENRITH PROPERTIES LTD.,,ANG,British Anguilla,,RICARDO SABOGAL & CIA LTDA CRA 12 NO 70-31 COLOMBIA, BOGOTA,2002910,22-NOV-2013,,,,Active,Mossack Fonseca,2294384,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10010417,CAMELIA CORP.,CAMELIA CORP.,,ANG,British Anguilla,,"JULIANA RESTREPO HERON CALLE 12 SUR 25-15, MALL COMPLEX LOS BALSOS, INTERIOR 224 MEDELLÃN COLOMBIA",2002927,05-DEC-2013,,,,Active,Mossack Fonseca,2299693,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10010528,FINANCIERA SAN FRANCISCO, S.A.,FINANCIERA SAN FRANCISCO, S.A.,,PMA,Panama,,SAMPER Y TRUJILLO APARTADO AEREO 58916 SANTAFE DE BOGOTA, COLOMBIA  ATN. SR. FELIPE SAMPER,1541,12-FEB-1981,22-JUN-1990,12-MAY-1982,,Trash company,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10010628,AQUA MAGNETEQUE INTERNATIONAL S.A.,AQUA MAGNETEQUE INTERNATIONAL S.A.,,PMA,Panama,,SR. FELIX H. PEREZ APARTADO AEREO 75638 SANTAFE DE BOGOTA, D. E. COLOMBIA,1460,23-DEC-1980,05-AUG-1989,23-MAR-1982,,Defaulted,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011246,CONSTRUCTION MACHINERY INC.,CONSTRUCTION MACHINERY INC.,,PMA,Panama,,"COLOMBIANA DEL CARIBE, S.A. CALLE 17 NO. 68-24 SANTAFE DE BOGOTA, D.C. COLOMBIA",1390,21-NOV-1980,06-MAR-1996,21-FEB-1982,,Dissolved,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011406,PETRODORADO SOUTH AMERICA S.A.,PETRODORADO SOUTH AMERICA S.A. [HOLYWELL RESOURCES S.A.],HOLYWELL RESOURCES S.A.,PMA,Panama,,"ANA MARIA SERRANO BARONA DIAG 127 B NO. 72-26, KALATRABA, BOGOTA COLOMBIA",17032,02-JUL-1997,,,,Active,Mossack Fonseca,0,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011435,YOLDER MANAGEMENT CORP.,YOLDER MANAGEMENT CORP.,,PMA,Panama,,"R & ASOCIADOS ABOGADOS U.N. CARRERA 5, NO.16-13, OFICINA 201, SANTAFE DE BOGOTA D.C.  COLOMBIA **S.I.**",19104,28-FEB-2000,05-JUL-2004,30-JUN-2005,,Defaulted,Mossack Fonseca,70,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011549,NIROS GROUP INDUSTRIES LLC,NIROS GROUP INDUSTRIES LLC,,NEV,Nevada,,NESTOR A.  SALAZAR D. CALLE114 NO. 50-72 BOGOTÃ, COLOMBIA,121609,08-JAN-2010,01-FEB-2012,01-FEB-2012,,Resigned as agent,Mossack Fonseca,E0034602010-8,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011673,LIMBURG INCORPORATED,LIMBURG INCORPORATED,,ANG,British Anguilla,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,2003343,15-JUL-2014,,,,Active,Mossack Fonseca,2318213,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011679,ELYNE S.A.,ELYNE S.A.,,ANG,British Anguilla,,BBO BANK CALLE 87 # 10-93 OF. 702 BOGOTA COLOMBIA,2003346,16-JUL-2014,,,,Active,Mossack Fonseca,2318527,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011866,FLIGHTLINE ENTERPRISES LIMITED,FLIGHTLINE ENTERPRISES LIMITED,,ANG,British Anguilla,,"CARRERA 5TA., NO. 6617, CHAPINERO ALTO, BOGOTA COLOMBIA BOGOTA COLOMBIA",2000473,01-SEP-2008,18-MAY-2010,31-MAR-2010,,Defaulted,Mossack Fonseca,2128863,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011852,JOMALICAL CORP.,JOMALICAL CORP.,,PMA,Panama,,SR. EDUARDO CALDERON NIETO CALLE 88 NO. 13A-40 APARTAMENTO 302 SANTAFE DE BOGOTA COLOMBIA,1935,30-JUL-1981,25-NOV-1991,30-OCT-1982,,Defaulted,Mossack Fonseca,,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10011901,ORIOLE LIMITED,ORIOLE LIMITED,,ANG,British Anguilla,,SUAREZ & ASOCIADOS CONSULTORIA EMPRESARIAL CARRERA 11D NO. 118Âª-44   BOGOTA, COLOMBIA BOGOTA COLOMBIA,2003383,31-JUL-2014,,,,Active,Mossack Fonseca,2319642,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
